"","employees","salaries2014","salaries2015","raise","got.raise"
"1","Employee 1",49669.3051047623,53326.7861222848,3657.48101752251,TRUE
"2","Employee 2",48168.012232054,54341.0148369148,6173.00260486081,TRUE
"3","Employee 3",46954.3281616643,58246.8741843477,11292.5460226834,TRUE
"4","Employee 4",48280.7564968243,57590.115276631,9309.35877980664,TRUE
"5","Employee 5",45176.5577099286,55067.9541788995,9891.39646897092,TRUE
"6","Employee 6",53827.5605114177,59611.1315060407,5783.57099462301,TRUE
"7","Employee 7",46193.3642695658,54077.2295850329,7883.86531546712,TRUE
"8","Employee 8",52768.9048158936,54038.092427887,1269.1876119934,TRUE
"9","Employee 9",46160.0257060491,54877.801890485,8717.77618443593,TRUE
"10","Employee 10",46184.1685045511,54469.2255943082,8285.05708975717,TRUE
"11","Employee 11",50976.0153549723,51082.1654172614,106.150062289089,TRUE
"12","Employee 12",46560.4379191063,56442.8257816471,9882.38786254078,TRUE
"13","Employee 13",49773.5534375533,51187.5123358332,1413.95889827982,TRUE
"14","Employee 14",48435.2332470007,55894.8465217836,7459.6132747829,TRUE
"15","Employee 15",48826.9224925898,55675.3367339261,6848.41424133629,TRUE
"16","Employee 16",54416.8195966631,54335.3776531294,-81.4419435337186,FALSE
"17","Employee 17",46396.466169972,54564.3023625016,8167.83619252965,TRUE
"18","Employee 18",50940.2779606171,52741.9021367095,1801.62417609245,TRUE
"19","Employee 19",48578.7378670648,53519.7276636027,4940.98979653791,TRUE
"20","Employee 20",46984.3188510276,55445.1185851358,8460.79973410815,TRUE
"21","Employee 21",46772.2336272709,51583.1044679508,4810.87084067985,TRUE
"22","Employee 22",48016.3860530593,59169.7971909307,11153.4111378714,TRUE
"23","Employee 23",49928.2843037508,55103.6240221001,5175.33971834928,TRUE
"24","Employee 24",52211.8735476397,51413.8874961063,-797.986051533371,FALSE
"25","Employee 25",54378.3232779242,57882.1378517896,3503.81457386538,TRUE
"26","Employee 26",47660.3431859985,54701.1868320405,7040.84364604205,TRUE
"27","Employee 27",49054.8450872302,56403.9268055931,7349.08171836287,TRUE
"28","Employee 28",47808.1725444645,55589.716901537,7781.54435707256,TRUE
"29","Employee 29",54081.0343553312,53511.8328537792,-569.201501552016,FALSE
"30","Employee 30",45160.9698450193,59930.9896645136,14770.0198194943,TRUE
"31","Employee 31",52657.7651733533,59579.4653720222,6921.70019866899,TRUE
"32","Employee 32",52927.3146181367,51932.0165286772,-995.298089459538,FALSE
"33","Employee 33",45158.5322385654,59440.0522196665,14281.5199811012,TRUE
"34","Employee 34",53689.1777534038,58988.0871903151,5298.90943691134,TRUE
"35","Employee 35",54943.3681042865,59001.1001462117,4057.73204192519,TRUE
"36","Employee 36",48164.9394915439,57366.1980279721,9201.25853642821,TRUE
"37","Employee 37",47268.2022862136,52686.0095900483,5417.80730383471,TRUE
"38","Employee 38",50542.3074052669,58414.9611033499,7872.65369808301,TRUE
"39","Employee 39",45765.4036348686,55168.566444423,9403.16280955449,TRUE
"40","Employee 40",47723.338988144,60717.6647023298,12994.3257141858,TRUE
"41","Employee 41",53827.8817245737,58810.8541574329,4982.97243285924,TRUE
"42","Employee 42",51530.8216074482,51641.7084508575,110.886843409389,TRUE
"43","Employee 43",46862.4897743575,55194.3550622091,8331.86528785154,TRUE
"44","Employee 44",48238.3829145692,60966.445711907,12728.0627973378,TRUE
"45","Employee 45",53463.517264463,59555.2351805381,6091.71791607514,TRUE
"46","Employee 46",54462.0007206686,60650.0365016982,6188.03578102961,TRUE
"47","Employee 47",47335.3195888922,54739.4259311259,7404.10634223372,TRUE
"48","Employee 48",54602.6486321352,60463.3786659688,5860.73003383353,TRUE
"49","Employee 49",49718.5222338885,60340.3865676373,10621.8643337488,TRUE
"50","Employee 50",54110.333933495,52169.1751610488,-1941.15877244622,FALSE
"51","Employee 51",49047.0042452216,58283.684280701,9236.68003547937,TRUE
"52","Employee 52",46906.8171805702,51645.5577886663,4738.74060809612,TRUE
"53","Employee 53",49115.1152225211,51613.207782153,2498.09255963191,TRUE
"54","Employee 54",49647.4264096469,51277.8821648099,1630.45575516298,TRUE
"55","Employee 55",49436.4602700807,56577.2025254555,7140.74225537479,TRUE
"56","Employee 56",51645.5588885583,60180.6093160994,8535.05042754114,TRUE
"57","Employee 57",53362.509929575,56462.3908805661,3099.88095099106,TRUE
"58","Employee 58",54964.8377718404,57143.7673168257,2178.92954498529,TRUE
"59","Employee 59",50426.0316141881,53052.6587101631,2626.62709597498,TRUE
"60","Employee 60",50702.9048842378,52751.6716616228,2048.76677738503,TRUE
"61","Employee 61",46848.2173723169,59757.9660955817,12909.7487232648,TRUE
"62","Employee 62",52264.6414511837,55426.198694855,3161.55724367127,TRUE
"63","Employee 63",48275.9096194059,52038.7135250494,3762.80390564352,TRUE
"64","Employee 64",53448.1194405816,57716.3139907643,4268.19455018267,TRUE
"65","Employee 65",48453.477602452,54774.798498489,6321.32089603692,TRUE
"66","Employee 66",50954.4988069683,52973.777085077,2019.27827810869,TRUE
"67","Employee 67",48066.6124052368,54719.9172377586,6653.30483252183,TRUE
"68","Employee 68",53487.2104180977,56364.7565469146,2877.5461288169,TRUE
"69","Employee 69",53627.8587859124,55901.9748019055,2274.11601599306,TRUE
"70","Employee 70",47027.6460959576,52568.421437405,5540.77534144744,TRUE
"71","Employee 71",53681.627868209,60291.4092191495,6609.78135094047,TRUE
"72","Employee 72",52488.5790329427,52718.7974904664,230.218457523733,TRUE
"73","Employee 73",50426.2519977055,56433.5184907541,6007.26649304852,TRUE
"74","Employee 74",48930.0331682898,59305.9695060365,10375.9363377467,TRUE
"75","Employee 75",54656.8997693248,55304.1063565761,647.206587251276,TRUE
"76","Employee 76",51454.1046554223,53136.4615438506,1682.35688842833,TRUE
"77","Employee 77",46023.5877288505,55071.2786489166,9047.69092006609,TRUE
"78","Employee 78",54726.7753910273,58957.7163862996,4230.94099527225,TRUE
"79","Employee 79",50780.6331641041,54384.5325489528,3603.89938484877,TRUE
"80","Employee 80",54296.3966797106,57004.1825845838,2707.78590487316,TRUE
"81","Employee 81",47746.8778472394,59045.2971206978,11298.4192734584,TRUE
